Object Center X,"	Object Center Y","	X Left","	Y Top","	X Right","	Y Bottom","	Area","	Orientation","	Frame #","	Time / s","	Aspect Ratio","	Pixel Threshold","	Max Droplet Width / um","	Contact Droplet Width / um","	Volume (slices) / um3","	Volume (cap) / um3","	Volume-equivalent radius / um","	Volume-equivalent diameter / um","	Height of spherical cap / um","	Contact angle / degrees","	Surface area / um2"
64.244965,80.212318,27,49,102,106,3523,178.546005,29,0.483333,1.315789,144,49.775785,43.049327,55562.81303,57414.08613,23.671832,47.343664,38.340807,121.379986,6073.731058
64.006599,80.474167,27,49,102,106,3484,179.101196,30,0.5,1.315789,144,49.775785,44.394619,54722.62905,59185.28481,23.551909,47.103818,38.340807,119.862834,6166.12341
64.060074,80.306412,28,49,102,106,3479,179.094574,31,0.516667,1.298246,144,49.775785,43.049327,54428.86344,57414.08613,23.509689,47.019378,38.340807,121.379986,6073.731058
63.979214,80.436775,28,49,102,106,3464,178.857101,32,0.533333,1.298246,144,49.775785,43.049327,54148.96146,57414.08613,23.46932,46.93864,38.340807,121.379986,6073.731058
63.954624,80.563873,27,50,102,106,3460,177.96933,33,0.55,1.339286,144,49.775785,43.049327,54252.22163,55398.44133,23.484229,46.968458,37.668161,120.510237,5913.110508
63.922741,80.617485,28,50,101,106,3443,178.184891,34,0.566667,1.303571,144,49.103139,43.049327,53837.50777,55398.44133,23.424237,46.848473,37.668161,120.510237,5913.110508
63.673237,80.689705,28,50,101,106,3400,178.601227,35,0.583333,1.303571,144,49.103139,43.049327,52760.20785,55398.44133,23.266941,46.533883,37.668161,120.510237,5913.110508
63.678341,80.710121,28,50,101,106,3398,178.759933,36,0.6,1.303571,144,49.103139,43.049327,52712.40221,55398.44133,23.259912,46.519824,37.668161,120.510237,5913.110508
63.50222,80.736748,28,51,100,106,3377,177.945175,37,0.616667,1.309091,144,48.430493,42.376682,52129.41253,52601.53299,23.173844,46.347687,36.995516,120.398113,5710.20269
63.411903,80.841965,28,50,100,106,3360,178.661743,38,0.633333,1.285714,144,48.430493,42.376682,51818.43689,54548.45719,23.127671,46.255342,37.668161,121.284493,5867.980398
63.464199,80.806084,27,51,100,106,3352,177.505264,39,0.65,1.327273,144,49.103139,41.704036,51544.51062,51779.87368,23.086846,46.173692,36.995516,121.185622,5665.78329
63.360645,80.950958,28,51,100,106,3344,177.821869,40,0.666667,1.309091,144,48.430493,43.049327,51493.3586,53436.33884,23.079206,46.158413,36.995516,119.616754,5755.3328
63.32172,80.963356,28,51,100,106,3329,177.941833,41,0.683333,1.309091,144,48.430493,42.376682,51137.44566,52601.53299,23.02591,46.05182,36.995516,120.398113,5710.20269
63.220886,81.011734,27,51,100,106,3323,178.038269,42,0.7,1.327273,144,48.430493,42.376682,50982.07736,52601.53299,23.002567,46.005134,36.995516,120.398113,5710.20269
63.283478,81.075233,28,51,100,106,3323,177.990005,43,0.716667,1.309091,144,48.430493,43.049327,51063.82499,53436.33884,23.014855,46.02971,36.995516,119.616754,5755.3328
63.171879,81.060738,28,51,100,106,3293,177.533936,44,0.733333,1.309091,144,48.430493,42.376682,50276.94429,52601.53299,22.896025,45.79205,36.995516,120.398113,5710.20269
63.022282,81.235657,28,51,100,106,3276,177.74968,45,0.75,1.309091,144,47.757848,42.376682,49990.34952,52601.53299,22.852437,45.704874,36.995516,120.398113,5710.20269
62.960026,81.236801,28,51,100,106,3277,178.521881,46,0.766667,1.309091,144,48.430493,43.049327,50038.39418,53436.33884,22.859756,45.719511,36.995516,119.616754,5755.3328
62.896954,81.306984,28,52,100,106,3251,177.570724,47,0.783333,1.333333,144,48.430493,41.704036,49419.7893,49900.47493,22.765163,45.530326,36.32287,120.281968,5510.848423
62.783844,81.401787,28,52,100,106,3243,178.440445,48,0.8,1.333333,144,48.430493,42.376682,49225.22038,50707.19497,22.735248,45.470495,36.32287,119.487126,5555.267823
62.652878,81.289581,28,52,99,106,3215,178.653625,49,0.816667,1.314815,144,47.757848,41.03139,48392.44627,49106.66241,22.606309,45.212618,36.32287,121.08319,5467.139734
62.593563,81.39019,27,52,99,106,3201,178.685135,50,0.833333,1.333333,144,48.430493,41.03139,48154.85228,49106.66241,22.569251,45.138502,36.32287,121.08319,5467.139734
62.651047,81.31459,28,52,99,106,3201,178.176865,51,0.85,1.314815,144,47.757848,40.358744,48068.80214,48325.75741,22.5558,45.111599,36.32287,121.890792,5424.141754
62.576729,81.533966,28,52,99,106,3180,178.302795,52,0.866667,1.314815,144,47.757848,41.03139,47771.21208,49106.66241,22.509156,45.018313,36.32287,121.08319,5467.139734
62.516384,81.417458,28,52,99,106,3174,178.126328,53,0.883333,1.314815,144,47.757848,39.686099,47453.78268,47557.75993,22.459189,44.918379,36.32287,122.704767,5381.854486
62.189934,81.507759,28,52,98,106,3159,179.824326,54,0.9,1.296296,144,47.085202,41.03139,47096.43558,49106.66241,22.402671,44.805343,36.32287,121.08319,5467.139734
62.156082,81.666771,28,53,98,106,3133,179.519974,55,0.916667,1.320755,144,47.085202,41.704036,46558.14416,48072.70626,22.316993,44.633987,35.650224,119.352786,5358.756398
62.23954,81.551582,28,52,98,106,3131,178.956787,56,0.933333,1.296296,144,47.085202,40.358744,46376.48276,48325.75741,22.28793,44.57586,36.32287,121.890792,5424.141754
61.975296,81.726982,28,53,98,106,3117,179.322922,57,0.95,1.320755,144,47.085202,41.03139,46259.35896,47293.59397,22.269151,44.538303,35.650224,120.161583,5315.047708
61.960861,81.721848,28,53,98,106,3117,179.289917,58,0.966667,1.320755,144,47.085202,41.03139,46172.35271,47293.59397,22.255181,44.510362,35.650224,120.161583,5315.047708
61.919312,81.760208,28,53,98,106,3086,179.112701,59,0.983333,1.320755,144,47.085202,41.03139,45462.6781,47293.59397,22.14057,44.28114,35.650224,120.161583,5315.047708
61.844097,81.823875,28,53,97,106,3066,179.050232,60,1,1.301887,144,46.412556,39.686099,45070.19386,45773.37487,22.076672,44.153344,35.650224,121.799045,5229.762461
61.984573,81.776833,28,53,97,106,3047,178.152115,61,1.016667,1.301887,144,46.412556,38.340807,44529.75119,44303.82974,21.988076,43.976151,35.650224,123.462974,5147.320055
61.81501,81.941078,28,53,97,106,3038,178.833099,62,1.033333,1.301887,144,46.412556,39.013453,44510.38991,45032.26806,21.984888,43.969777,35.650224,122.627705,5188.185902
61.687027,81.925781,28,53,97,106,3045,179.981033,63,1.05,1.301887,144,46.412556,41.03139,44589.50823,47293.59397,21.997907,43.995814,35.650224,120.161583,5315.047708
61.771088,81.959641,28,54,97,106,3023,179.002197,64,1.066667,1.326923,144,46.412556,39.013453,44128.66194,43312.54012,21.921859,43.843718,34.977578,121.703856,5038.936719
61.672871,82.022942,28,54,97,106,3008,178.834503,65,1.083333,1.326923,144,46.412556,38.340807,43826.76937,42597.84592,21.871754,43.743508,34.977578,122.547739,4998.070871
61.483387,82.089371,28,54,96,106,3010,0.069363,66,1.1,1.307692,144,45.73991,39.686099,43851.15024,44039.66379,21.875809,43.751618,34.977578,120.866849,5080.513277
61.492985,82.190384,28,54,96,106,2994,179.303619,67,1.116667,1.307692,144,45.73991,41.03139,43470.61741,45531.19951,21.812347,43.624694,34.977578,119.213475,5165.798525
61.633991,82.102707,28,54,97,106,2989,178.68187,68,1.133333,1.326923,144,46.412556,39.013453,43311.66368,43312.54012,21.785728,43.571457,34.977578,121.703856,5038.936719
61.488224,82.179001,28,54,96,106,2972,178.429764,69,1.15,1.307692,144,45.73991,39.013453,42883.08619,43312.54012,21.713632,43.427264,34.977578,121.703856,5038.936719
61.460316,82.303955,28,54,96,106,2961,179.426514,70,1.166667,1.307692,144,45.73991,41.03139,42684.93185,45531.19951,21.680136,43.360271,34.977578,119.213475,5165.798525
61.519661,82.232201,28,54,96,106,2950,178.446426,71,1.183333,1.307692,144,45.73991,38.340807,42382.08317,42597.84592,21.62874,43.257481,34.977578,122.547739,4998.070871
61.553505,82.468376,28,55,96,106,2925,178.406784,72,1.2,1.333333,144,45.73991,38.340807,42154.28933,40941.57996,21.589921,43.179842,34.304933,121.605028,4851.664529
61.483406,82.448853,28,54,96,106,2923,178.853165,73,1.216667,1.307692,144,45.73991,39.013453,42000.35519,43312.54012,21.563609,43.127218,34.977578,121.703856,5038.936719
61.503967,82.403587,28,54,96,106,2899,177.711945,74,1.233333,1.307692,144,45.067265,37.668161,41336.81302,41895.58118,21.449448,42.898897,34.977578,123.398488,4957.915734
61.466965,82.496025,28,55,96,106,2891,177.962204,75,1.25,1.333333,144,45.067265,37.668161,41213.95255,40252.82031,21.428177,42.856353,34.304933,122.464701,4811.509392
61.435143,82.473541,28,55,95,106,2891,177.76152,76,1.266667,1.313725,144,45.067265,39.013453,41178.57638,41642.53004,21.422044,42.844088,34.304933,120.752502,4892.530377
61.350677,82.603539,28,55,95,106,2883,178.551376,77,1.283333,1.313725,144,45.067265,38.340807,41074.83816,40941.57996,21.40404,42.80808,34.304933,121.605028,4851.664529
61.391212,82.561714,28,55,95,106,2868,177.088989,78,1.3,1.313725,144,45.067265,37.668161,40658.21207,40252.82031,21.331426,42.662852,34.304933,122.464701,4811.509392
61.360252,82.680832,28,55,95,106,2848,177.227173,79,1.316667,1.313725,144,45.067265,37.668161,40289.63065,40252.82031,21.266771,42.533542,34.304933,122.464701,4811.509392
61.343784,82.748856,28,55,95,106,2839,177.000397,80,1.333333,1.313725,144,45.067265,38.340807,40144.0625,40941.57996,21.241128,42.482255,34.304933,121.605028,4851.664529
