,time,ca_rad,activity_coeff,mass,tau,dm/dt,new_mass,mass_frac_solute,mass_frac_solvent,density,radius,volume
0,0.016,2.226836463074349,0.9042368804664775,8.288562760551689e-11,0.013509157179951044,2.5756672902419657e-11,8.247352083907817e-11,0.20099936746302566,0.7990006325369744,1147.9759545098843,21.159991933614233,71842.55080873129
1,0.032,2.226836463074349,0.9033323650904066,8.247352083907832e-11,0.027028878465511618,2.5638631637526654e-11,8.206330273287789e-11,0.20200412326887665,0.7979958767311235,1148.764177109074,21.120018083652127,71436.16102252994
2,0.048,2.226836463074349,0.9024184268520443,8.206330273287806e-11,0.04055790975601744,2.552028846913917e-11,8.165497811737184e-11,0.20301426689840374,0.7969857331015965,1149.5574432635822,21.08007958651455,71031.6640511275
3,0.064,2.226836463074349,0.9014949927231228,8.165497811737202e-11,0.05409496955893319,2.540164450529357e-11,8.124855180528733e-11,0.2040297968735574,0.7959702031264427,1150.355768787205,21.04017759229752,70629.06451188217
4,0.08,2.226836463074349,0.9005619902663327,8.124855180528746e-11,0.06763874883474584,2.5282700939440476e-11,8.084402859025641e-11,0.2050507107348858,0.7949492892651143,1151.1591688659043,21.000313264803143,70228.36700323735
5,0.096,2.226836463074349,0.8996193476846344,8.084402859025656e-11,0.08118791085625797,2.5163459052456147e-11,8.044141324541725e-11,0.2060770050189034,0.7939229949810966,1151.9676580355804,20.960487781544575,69829.57610337068
6,0.112,2.226836463074349,0.8986669938718279,8.044141324541741e-11,0.09474109108299188,2.5043920214664897e-11,8.004071052198277e-11,0.20710867523534468,0.7928913247646553,1152.7812501595083,20.92070233374482,69432.69636881037
7,0.128,2.226836463074349,0.8977048584643867,8.004071052198291e-11,0.10829689705142814,2.4924085887871377e-11,7.964192514777697e-11,0.20814571584431757,0.7918542841556824,1153.5999584054412,20.880958126329052,69037.73233301924
8,0.14400000000000002,2.226836463074349,0.8967328718946206,7.964192514777711e-11,0.12185390828182914,2.4803957627404285e-11,7.924506182573864e-11,0.20918812023337216,0.7908118797666277,1154.4237952223862,20.841256377910366,68644.68850494632
9,0.16,2.226836463074349,0.8957509654452664,7.924506182573877e-11,0.1354106762024348,2.468353708417559e-11,7.885012523239197e-11,0.21023588069450141,0.7897641193054985,1155.2527723170665,20.801598320768626,68253.56936754535
10,0.176,2.226836463074349,0.894759071305181,7.885012523239212e-11,0.14896572409171632,2.456282600673621e-11,7.845712001628434e-11,0.21128898840109073,0.7887110115989091,1156.0869006300716,20.761985200822252,67864.37937626049
11,0.192,2.226836463074349,0.8937571226266385,7.845712001628447e-11,0.16251754703959534,2.444182624335302e-11,7.806605079639082e-11,0.21234743338483456,0.7876525666151653,1156.9261903117133,20.722418277592695,67477.12295747864
12,0.20800000000000002,2.226836463074349,0.8927450535836527,7.806605079639094e-11,0.1760646119282553,2.4320539744075467e-11,7.767692216048573e-11,0.21341120451263865,0.7865887954873612,1157.7706506975921,20.68289882416137,67091.80450694877
13,0.224,2.226836463074349,0.8917227994317685,7.767692216048585e-11,0.18960535743346277,2.419896856281347e-11,7.728973866348084e-11,0.21448028946352746,0.7855197105364723,1158.6202902838886,20.64342812711881,66708.42838816768
14,0.24,2.226836463074349,0.8906902965691472,7.728973866348095e-11,0.20313819404715802,2.4077114859415745e-11,7.69045048257303e-11,0.21555467470557718,0.7844453252944226,1159.4751167023912,20.604007486505864,66326.99893073237
